id,cor_x,cor_y
10082,128.485276,35.740973
10082,128.488592,35.740932
10082,128.488541,35.738229
10082,128.485226,35.73827
10082,128.485276,35.740973
10083,128.485226,35.73827
10083,128.488541,35.738229
10083,128.488491,35.735527
10083,128.485176,35.735568
10083,128.485226,35.73827
10084,128.485176,35.735568
10084,128.488491,35.735527
10084,128.488441,35.732824
10084,128.485126,35.732865
10084,128.485176,35.735568
10085,128.485126,35.732865
10085,128.488441,35.732824
10085,128.488391,35.730121
10085,128.485076,35.730162
10085,128.485126,35.732865
10086,128.485076,35.730162
10086,128.488391,35.730121
10086,128.48834,35.727418
10086,128.485025,35.727459
10086,128.485076,35.730162
10087,128.485025,35.727459
10087,128.48834,35.727418
10087,128.48829,35.724715
10087,128.484975,35.724756
10087,128.485025,35.727459
10088,128.484975,35.724756
10088,128.48829,35.724715
10088,128.48824,35.722012
10088,128.484925,35.722053
10088,128.484975,35.724756
10089,128.484925,35.722053
10089,128.48824,35.722012
10089,128.488189,35.719309
10089,128.484875,35.71935
10089,128.484925,35.722053
10090,128.484875,35.71935
10090,128.488189,35.719309
10090,128.488139,35.716606
10090,128.484825,35.716647
10090,128.484875,35.71935
10091,128.484825,35.716647
10091,128.488139,35.716606
10091,128.488089,35.713903
10091,128.484775,35.713944
10091,128.484825,35.716647
10092,128.484775,35.713944
10092,128.488089,35.713903
10092,128.488039,35.7112
10092,128.484725,35.711241
10092,128.484775,35.713944
10093,128.484725,35.711241
10093,128.488039,35.7112
10093,128.487988,35.708497
10093,128.484674,35.708538
10093,128.484725,35.711241
10094,128.484674,35.708538
10094,128.487988,35.708497
10094,128.487938,35.705795
10094,128.484624,35.705835
10094,128.484674,35.708538
10095,128.484624,35.705835
10095,128.487938,35.705795
10095,128.487888,35.703092
10095,128.484574,35.703133
10095,128.484624,35.705835
10096,128.484574,35.703133
10096,128.487888,35.703092
10096,128.487838,35.700389
10096,128.484524,35.70043
10096,128.484574,35.703133
10097,128.484524,35.70043
10097,128.487838,35.700389
10097,128.487787,35.697686
10097,128.484474,35.697727
10097,128.484524,35.70043
10098,128.484474,35.697727
10098,128.487787,35.697686
10098,128.487737,35.694983
10098,128.484424,35.695024
10098,128.484474,35.697727
10099,128.484424,35.695024
10099,128.487737,35.694983
10099,128.487687,35.69228
10099,128.484374,35.692321
10099,128.484424,35.695024
10100,128.484374,35.692321
10100,128.487687,35.69228
10100,128.487637,35.689577
10100,128.484324,35.689618
10100,128.484374,35.692321
10101,128.484324,35.689618
10101,128.487637,35.689577
10101,128.487587,35.686874
10101,128.484274,35.686915
10101,128.484324,35.689618
10102,128.484274,35.686915
10102,128.487587,35.686874
10102,128.487536,35.684171
10102,128.484223,35.684212
10102,128.484274,35.686915
10103,128.484223,35.684212
10103,128.487536,35.684171
10103,128.487486,35.681468
10103,128.484173,35.681509
10103,128.484223,35.684212
10104,128.484173,35.681509
10104,128.487486,35.681468
10104,128.487436,35.678765
10104,128.484123,35.678806
10104,128.484173,35.681509
10105,128.484123,35.678806
10105,128.487436,35.678765
10105,128.487386,35.676062
10105,128.484073,35.676103
10105,128.484123,35.678806
10106,128.484073,35.676103
10106,128.487386,35.676062
10106,128.487336,35.673359
10106,128.484023,35.6734
10106,128.484073,35.676103
10107,128.484023,35.6734
10107,128.487336,35.673359
10107,128.487286,35.670656
10107,128.483973,35.670697
10107,128.484023,35.6734
10108,128.483973,35.670697
10108,128.487286,35.670656
10108,128.487235,35.667954
10108,128.483923,35.667994
10108,128.483973,35.670697
10109,128.483923,35.667994
10109,128.487235,35.667954
10109,128.487185,35.665251
10109,128.483873,35.665291
10109,128.483923,35.667994
10110,128.483873,35.665291
10110,128.487185,35.665251
10110,128.487135,35.662548
10110,128.483823,35.662589
10110,128.483873,35.665291
10111,128.483823,35.662589
10111,128.487135,35.662548
10111,128.487085,35.659845
10111,128.483773,35.659886
10111,128.483823,35.662589
10112,128.483773,35.659886
10112,128.487085,35.659845
10112,128.487035,35.657142
10112,128.483723,35.657183
10112,128.483773,35.659886
10113,128.483723,35.657183
10113,128.487035,35.657142
10113,128.486985,35.654439
10113,128.483673,35.65448
10113,128.483723,35.657183
10114,128.483673,35.65448
10114,128.486985,35.654439
10114,128.486935,35.651736
10114,128.483623,35.651777
10114,128.483673,35.65448
10115,128.483623,35.651777
10115,128.486935,35.651736
10115,128.486885,35.649033
10115,128.483573,35.649074
10115,128.483623,35.651777
10116,128.483573,35.649074
10116,128.486885,35.649033
10116,128.486835,35.64633
10116,128.483523,35.646371
10116,128.483573,35.649074
10117,128.483523,35.646371
10117,128.486835,35.64633
