,loc_name,lon,lat,emd,sgg,field,used_area,agri_land,forest,grass,wet_land,barren,water
39,무의분교(용유초),126.424944,37.390392,인천 중구 무의동,중구,인천,0.1108222577125525,0.2545509134239856,0.459885379686504,0.0940657874246542,0.0080348557474054,0.0673162495334062,0.0053245564714919
40,문화공원,126.681183,37.417215,인천 연수구 연수동,연수구,인천,0.7386098013520284,0.0031280383021556,0.0,0.1986346200478004,0.0,0.0596275402980154,0.0
41,미추홀공원(송도),126.652141,37.381191,인천 연수구 송도동,연수구,인천,0.5887451695996471,0.0,0.0,0.3964278201479864,0.0,0.0102165956271902,0.0046104146251762
42,미추홀구청소년수련관,126.649014,37.46348,인천 미추홀구 숭의동,미추홀구,인천,0.94644788103849,0.0016628249896501,0.0,0.033974041893792,0.0,0.0179152520780678,0.0
43,미추홀근린공원,126.67011,37.446179,인천 미추홀구 주안동,미추홀구,인천,0.7323328091870764,0.00152459998418,0.12115090355122,0.1345401782917396,0.0,0.0104515089857838,0.0
44,방촌공원,126.738911,37.497879,인천 부평구 부개동,부평구,인천,0.7057686997378041,0.0,0.0,0.1913693959216195,0.0,0.1028619043405763,0.0
45,보건환경연구원,126.635042,37.468414,인천 중구 신흥동2가,중구,인천,0.926921462394248,0.0048997912128724,0.0,0.0579811401214605,0.0,0.0101976062714189,0.0
46,봉제어린이공원,126.667902,37.406672,인천 연수구 동춘동,연수구,인천,0.6774673070135376,0.0060522346605356,0.0364044998241316,0.193266391113387,0.0,0.0868095673884078,0.0
47,부수지근린공원,126.678644,37.40835,인천 연수구 동춘동,연수구,인천,0.8101437369609413,0.0,0.0,0.1373718446226188,0.0,0.0524844184164398,0.0
48,부평공원,126.7119,37.487529,인천 부평구 부평동,부평구,인천,0.7704041117562647,0.0160213187459487,0.0014827530293376,0.1943316854633382,0.0,0.0106405199989939,0.007119611006117
49,부평구보건소,126.724178,37.498668,인천 부평구 부평동,부평구,인천,0.9295878865694454,0.0,0.0,0.0105983405856082,0.0,0.0598137728449463,0.0
50,북도보건지소,126.426848,37.532866,인천 옹진군 북도면,옹진군,백령도,0.1779377280738069,0.2207691581739909,0.3803665778114016,0.1372366276146909,0.0,0.0836899083261095,0.0
51,불은보건지소,126.48009,37.686038,인천 강화군 불은면,강화군,강화,,,,,,,
52,삼산면보건지소,126.323508,37.702637,인천 강화군 삼산면,강화군,강화,,,,,,,
53,삼선보건진료소,126.261426,37.795993,인천 강화군 교동면,강화군,강화,,,,,,,
54,상꾸지놀이공원,126.725267,37.51406,인천 부평구 갈산동,부평구,인천,0.7716551315265636,0.0,0.0,0.1535385390014264,0.0252536834862278,0.0275073005976656,0.0220453453881164
55,상도1리마을회관,126.467876,37.782005,인천 강화군 송해면,강화군,강화,,,,,,,
56,상야분교(계양초등학교),126.780163,37.579443,인천 계양구 상야동,계양구,인천,0.5811058331258823,0.2800421463292735,0.0,0.0508334264233956,0.046497721871799,0.0083789431217451,0.0331419291279045
57,상용보건진료소,126.307841,37.795677,인천 강화군 교동면,강화군,강화,,,,,,,
58,새싹어린이공원,126.649197,37.426173,인천 미추홀구 용현동,미추홀구,인천,0.7668066321135774,0.0144368296869017,0.0624524262266619,0.1107320905208558,0.0,0.045572021452003,0.0
59,서구보건소,126.67396,37.544535,인천 서구 심곡동,서구,인천,0.8808866656958999,0.0015035619729954,0.0,0.0769695597241116,0.0,0.040640212606993,0.0
60,서림초등학교,126.646779,37.475871,인천 동구 송림동,동구,인천,0.8736464553070663,0.0,0.0,0.0857189610263543,0.0,0.0406345836665793,0.0
61,서운체육공원,126.743801,37.532402,인천 계양구 서운동,계양구,인천,0.6102767903178623,0.006108308483836,0.0,0.2239315530470869,0.0,0.1219349612288417,0.037748386922373
62,석남2동주민센터,126.674543,37.502714,인천 서구 석남동,서구,인천,0.9820181851791032,0.0008389047053966,0.0,0.0133495397681643,0.0,0.0037933703473358,0.0
63,석남체육공원,126.674578,37.510568,인천 서구 석남동,서구,인천,0.9305833246896554,0.0029252931411829,0.0,0.0339637806043582,0.0,0.0325276015648034,0.0
